User_ID,Task_Sequence
1," 23, 23"
1," 23, 23, 13"
1," 23, 23, 13, 23"
1," 23, 23, 13, 23, 29"
2," 2, 14"
2," 2, 14, 7"
2," 2, 14, 7, 16"
2," 2, 14, 7, 16, 16"
2," 2, 14, 7, 16, 16, 29"
2," 2, 14, 7, 16, 16, 29, 9"
2," 2, 14, 7, 16, 16, 29, 9, 14"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19, 7"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19, 7, 9"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19, 7, 9, 16"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19, 7, 9, 16, 19"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19, 7, 9, 16, 19, 16"
2," 2, 14, 7, 16, 16, 29, 9, 14, 9, 14, 14, 19, 7, 9, 16, 19, 16, 14"
3," 0, 3"
3," 0, 3, 41"
3," 0, 3, 41, 14"
3," 0, 3, 41, 14, 14"
3," 0, 3, 41, 14, 14, 4"
3," 0, 3, 41, 14, 14, 4, 4"
4," 7, 26"
4," 7, 26, 7"
5," 14, 14"
5," 14, 14, 14"
5," 14, 14, 14, 13"
5," 14, 14, 14, 13, 14"
5," 14, 14, 14, 13, 14, 0"
6," 9, 14"
6," 9, 14, 0"
7," 14, 14"
7," 14, 14, 14"
7," 14, 14, 14, 14"
8," 1, 1"
8," 1, 1, 1"
8," 1, 1, 1, 9"
8," 1, 1, 1, 9, 14"
8," 1, 1, 1, 9, 14, 0"
8," 1, 1, 1, 9, 14, 0, 0"
8," 1, 1, 1, 9, 14, 0, 0, 14"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9"
8," 1, 1, 1, 9, 14, 0, 0, 14, 14, 9, 1, 1, 14, 14, 9, 0, 0, 9, 0"
